FIPS,Avg_Yield,N_Years,Precip,Mean_Temp,Min_Temp,pH,Clay,Sand
16087,228.7,3,136.1,18.8,11.2,7.1,30.6,34.7
53025,227.7,3,39.1,19.7,11.7,7.3,3.6,95.8
17115,226.4,5,490.7,21.7,16.0,6.2,25.8,5.4
17175,225.7,5,519.2,20.6,14.6,5.9,26.3,4.7
17167,223.8,5,537.3,21.9,16.1,5.9,26.3,4.7
31183,222.6,3,423.3,20.3,13.4,6.5,3.3,93.9
31137,222.0,5,414.8,20.8,14.1,6.5,24.7,10.4
31081,221.9,4,395.2,21.2,14.7,5.9,26.8,11.0
17113,221.7,5,492.8,21.3,15.2,6.0,30.5,5.8
17147,221.6,5,459.2,21.5,15.7,6.2,25.8,5.4
17129,220.3,5,487.0,21.7,15.9,5.9,26.3,4.7
17015,220.3,5,489.8,20.2,13.9,6.0,24.3,3.9
16045,219.9,3,132.4,18.7,10.5,6.2,8.2,72.9
17203,219.4,4,480.9,21.1,15.0,6.1,31.2,6.1
13037,219.0,5,694.1,25.9,20.1,6.4,20.9,53.3
17107,218.8,5,469.9,21.6,15.7,6.0,30.5,5.8
53001,218.7,3,50.9,18.7,9.9,7.7,7.5,21.7
17011,218.5,5,489.5,20.7,14.7,6.3,26.3,3.0
16073,218.4,3,90.1,17.8,9.4,6.7,20.2,40.1
16027,218.3,3,91.9,20.3,12.0,7.2,22.1,10.0
